column_1,column_2
-134,-78
-129,275
-2,-143
2,190
37,-35
-51,231
-152,-13
-55,221
125,-164
-113,-276
160,-154
10,-42
151,57
-102,-278
107,-249
-63,185
40,-98
121,-95
15,-286
-154,-69
54,-39
92,-259
-9,-66
-2,59
15,-32
-13,-146
-70,-198
-151,140
99,-148
41,147
-53,115
10,-99
127,249
-69,225
-83,-33
151,-230
157,-84
40,-125
-155,-39
134,-14
88,209
-150,45
-73,-253
53,26
-127,245
-144,-209
116,-27
-141,-269
-74,-134
-157,-103
104,-277
-14,-276
-14,170
103,70
39,-180
74,-285
118,-274
81,284
-113,7
-56,49
-39,254
-159,-69
-66,-203
-126,-97
-105,-190
151,-14
140,204
-34,9
-38,119
118,168
147,-203
-128,-41
42,-61
36,-105
100,56
-60,-101
-51,13
-136,-71
19,-105
14,-13
38,-201
43,174
87,-213
29,284
-37,70
-64,-252
33,-259
-67,268
-149,-240
26,-203
-24,112
159,-105
-158,-99
56,14
60,19
121,108
37,232
150,208
-39,-287
159,-28
-58,-168
83,260
144,-80
92,-212
102,41
67,25
-104,-59
55,58
104,71
4,-170
-38,148
28,93
-117,-203
-55,253
62,36
16,164
-84,290
85,-51
7,248
56,106
128,-70
50,-56
42,9
-52,227
-76,260
-12,245
-103,20
-36,119
123,-88
129,-181
110,-195
-149,-280
59,110
-36,177
-117,224
101,-259
82,-8
25,-119
143,-249
20,-259
-60,-120
-109,72
-155,-135
-36,-198
-107,222
30,-258
-70,-240
73,-291
-47,5
83,-212
-3,-37
115,49
52,-234
94,-88
-69,-258
25,66
-159,93
-135,275
119,-202
70,-123
-47,-110
113,-194
77,39
21,-166
-157,-20
-25,-104
-25,33
-37,-224
-110,288
102,-86
103,-217
139,-260
133,26
-15,226
-110,-159
68,-229
-45,-287
114,-100
94,114
9,-178
-140,19
-11,200
161,246
-151,282
-106,88
72,-24
54,252
-102,197
-59,-206
-117,114
16,-272
-75,-70
27,234
152,19
-86,-112
-119,-174
-91,-121
-129,-285
-88,-281
77,-285
138,-133
123,17
-39,-32
10,63
87,128
71,-273
-89,166
-129,180
88,173
52,262
-94,-184
-6,-70
-75,51
-54,65
91,160
-89,-160
123,88
13,172
-105,-51
66,27
-13,81
30,-287
106,-251
97,-5
151,-293
9,-72
29,75
-153,-92
131,238
88,-113
-103,59
-98,-73
-73,216
-28,-210
-138,-27
-112,289
156,-172
132,-63
82,-183
-126,-65
28,276
-9,190
117,168
-149,-126
141,-40
-143,-28
16,-212
-125,102
116,121
63,-194
-21,-171
48,-289
-24,-167
144,148
139,98
130,-129
-46,-28
-18,169
53,113
126,90
-147,-208
-60,-65
-144,138
-90,177
152,-287
-42,-204
-26,269
145,-244
-113,-191
73,-139
37,-159
-98,-1
161,-193
104,-107
159,-66
-74,34
49,252
-82,-67
132,-119
-17,-246
14,37
-121,-249
155,275
134,-55
-11,-18
-119,-93
21,-133
-82,-224
27,148
-21,222
-99,-73
98,-174
134,-168
76,256
-86,28
61,-292
-94,-122
-4,-242
69,-175
113,167
-44,-293
