column_1,column_2,column_3
2,-3,-1
0,-43,0
-7,-13,0
2,43,-1
-8,5,-1
6,-21,1
-2,-36,0
1,-9,1
3,24,0
6,-24,1
7,5,0
8,35,0
-4,18,0
-5,-38,-1
2,30,-1
-3,4,-1
-6,34,1
1,-20,-1
6,13,0
4,41,1
-5,5,1
5,8,0
7,-43,-1
-3,-42,0
-4,-26,1
-5,-30,1
-3,25,0
-1,-1,-1
-4,0,1
-5,-8,-1
-7,-15,1
-2,-20,-1
0,42,1
6,29,0
-3,-20,0
0,-44,-1
-5,-19,0
5,34,-1
-5,26,0
7,13,1
-5,-19,0
4,36,0
3,0,1
3,-24,-1
-8,30,1
6,36,0
5,-18,1
6,-36,1
-6,27,1
-7,18,0
6,-26,0
1,42,-1
-5,19,-1
-8,-9,0
5,-1,0
-6,26,1
3,30,-1
4,-5,-1
-2,22,1
7,35,0
-5,24,0
-1,-25,1
6,-39,-1
2,34,0
-5,-31,1
-1,-4,0
-1,-18,0
2,24,0
-6,8,0
0,-23,0
-3,-10,1
-1,42,0
-3,-31,0
-3,-43,0
6,-22,0
-7,43,-1
-5,-13,1
3,2,0
7,-36,0
-5,37,-1
7,21,0
-7,12,-1
1,30,-1
-7,-13,0
-1,-18,0
-4,0,0
3,-31,1
-5,-40,-1
5,31,0
3,-12,0
8,-1,0
1,22,0
6,-24,-1
3,43,-1
4,-19,0
8,-19,0
3,-39,1
1,-21,-1
-5,19,0
-6,35,-1
2,29,0
6,-18,0
-3,-25,1
4,-14,1
0,3,0
-1,-10,0
-6,17,0
7,8,0
-6,18,-1
7,40,1
-2,-22,-1
1,-18,0
-2,31,1
0,-36,0
2,32,1
-3,34,1
-5,40,0
7,-41,0
-4,43,0
-8,27,1
-3,14,0
2,26,0
3,-20,0
6,7,1
-3,44,1
-6,32,1
-5,44,1
5,-15,-1
-6,11,-1
5,-43,1
2,-24,1
7,34,1
6,15,0
6,-25,0
-6,-39,0
0,-35,0
3,-28,0
0,6,0
-7,21,-1
-7,7,0
5,-43,0
3,14,0
1,-22,-1
-3,8,0
-2,-35,1
0,19,0
3,14,1
-8,-1,1
3,39,1
-8,-4,0
-2,-11,0
-7,-39,0
-7,41,-1
5,2,-1
1,-25,-1
4,41,-1
5,34,0
-8,-3,1
-7,43,-1
7,-21,-1
1,29,1
-6,4,0
0,44,1
0,43,-1
1,-7,1
1,36,-1
2,21,1
7,-18,1
