column_1,column_2,column_3,column_4,column_5
16,-33,27,-81,-19
34,23,19,-79,17
-29,-22,1,74,16
-30,-30,22,-57,8
82,7,-23,3,15
-62,6,31,-61,-19
-21,-20,14,-9,3
-12,21,-6,83,3
-93,31,7,44,5
-27,24,7,21,-8
27,4,-20,-76,12
64,-39,23,61,-5
-61,-19,-11,-48,6
-22,-25,-11,78,-14
43,-14,-2,6,15
-19,-10,17,-74,5
10,25,-12,0,16
-31,22,-24,-31,-6
37,-12,11,83,-12
90,5,-29,-49,-18
94,12,39,-63,-8
-56,-6,41,10,-17
-53,-7,33,64,6
-71,18,-25,46,-8
-43,-26,-5,-40,-11
-45,4,-25,-10,8
6,34,3,-44,9
19,-20,-6,-3,-20
-62,18,20,-46,15
-52,-10,31,46,-5
-11,39,-20,-22,-14
-45,-8,38,5,-4
-92,-7,13,54,-8
-81,29,-32,45,-4
56,-5,8,-16,2
-11,-32,-17,-14,-17
-89,39,-7,-12,0
16,-37,-1,28,-1
-67,18,26,-17,-11
-30,-12,18,-46,-17
96,-15,33,-30,-3
-30,-22,27,-30,20
-47,30,-22,45,-18
-72,-30,-1,31,4
-87,-38,-26,-41,7
-8,-5,-33,-77,0
4,16,-15,-57,10
52,0,0,36,-19
-45,20,27,-24,12
-56,31,-10,-63,-17
69,25,30,-21,1
-71,-14,-21,-34,-18
-17,15,-1,39,9
77,36,-25,32,18
-86,-28,-20,-2,-20
76,-23,-40,65,13
9,-18,26,-35,-12
59,-36,32,12,13
-63,29,-15,-5,17
71,40,-11,-76,7
-86,31,-40,30,-2
-71,-27,38,-74,-20
33,-11,32,-49,-1
-75,14,-3,52,14
-68,10,-38,-43,17
13,-19,35,42,16
-69,-29,-43,-64,10
80,-5,-1,-79,-2
-40,18,-25,-48,5
58,-7,-17,32,-13
-16,8,5,-39,10
97,-21,1,-27,-8
79,31,16,-41,10
19,11,39,53,-5
-42,9,-20,14,-9
-52,0,-29,57,17
75,-13,-32,-63,18
-33,9,37,-11,-1
22,-34,32,-30,-8
-50,1,-20,61,-13
63,-7,33,-42,11
74,-9,9,-19,6
-53,-1,-27,63,-13
41,-30,14,-72,1
-69,-1,-38,0,-8
40,-3,-5,0,-3
71,6,16,37,16
-47,38,13,-59,9
-19,14,-2,35,-7
78,-31,-21,-75,-2
27,-16,38,49,11
-1,14,-32,16,20
29,2,-16,71,5
-96,-26,-39,77,15
19,-33,-2,1,8
-33,-39,3,41,-6
-37,-35,28,45,13
-14,30,2,34,16
-61,7,-41,39,13
27,-17,22,-11,9
59,-11,18,76,0
-6,-27,-29,-69,-4
59,33,16,-32,-18
55,3,3,-23,-3
-62,-15,-43,34,-3
25,-31,6,-3,-17
-10,-36,21,23,17
-2,-25,-28,40,-11
-51,-18,-24,-47,-10
95,30,-9,8,0
85,-16,-28,-66,1
-12,-6,16,58,2
-49,8,-34,-4,6
-83,12,19,45,-20
31,34,27,-74,6
-42,-18,20,18,-18
-1,-22,-20,12,11
-59,10,10,50,-10
-89,-6,41,40,11
73,3,8,-77,-16
55,-33,20,-13,10
-81,33,-20,-72,1
